year,week,yearweek,sunday
2022,00,2022-00,partial
2022,01,2022-01,09/01/2022
2022,02,2022-02,16/01/2022
2022,03,2022-03,23/01/2022
2022,04,2022-04,30/01/2022
2022,05,2022-05,06/02/2022
2022,06,2022-06,13/02/2022
2022,07,2022-07,20/02/2022
2022,08,2022-08,27/02/2022
2022,09,2022-09,06/03/2022
2022,10,2022-10,13/03/2022
2022,11,2022-11,20/03/2022
2022,12,2022-12,27/03/2022
2022,13,2022-13,03/04/2022
2022,14,2022-14,10/04/2022
2022,15,2022-15,17/04/2022
2022,16,2022-16,24/04/2022
1900,01,1900-01,Dummy
